pair_id,query_id,product_id,raw_response,gpt_score,rationale,parse_status,model_label,run_date
109275_B07X8HRLJJ,109275,B07X8HRLJJ,"{""score"": 0, ""rationale"": ""The query refers to W&W Lifetime, but the product is a DasMarine marine hatch, unrelated.""}",0,"The query refers to W&W Lifetime, but the product is a DasMarine marine hatch, unrelated.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:18.398674+00:00
41429_B07R645F4Z,41429,B07R645F4Z,"{""score"": 2, ""rationale"": ""Baseball-style tee but pattern is polka dots, not floral, making it a plausible substitute.""}",2,"Baseball-style tee but pattern is polka dots, not floral, making it a plausible substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:30:06.842645+00:00
101609_B07LB3YSHH,101609,B07LB3YSHH,"{""score"": 1, ""rationale"": ""The product is a roof accessory for the Teryx 4, not the ATV itself.""}",1,"The product is a roof accessory for the Teryx 4, not the ATV itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:33:55.334397+00:00
6845_B077VTX4KZ,6845,B077VTX4KZ,"{""score"": 3, ""rationale"": ""The product is an expandable, adjustable rack shelf matching the query.""}",3,"The product is an expandable, adjustable rack shelf matching the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:36:52.240281+00:00
1829_B07B3WF2Y2,1829,B07B3WF2Y2,"{""score"": 3, ""rationale"": ""Exact match: product is a 12\"" miter saw as requested.""}",3,"Exact match: product is a 12"" miter saw as requested.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:40:18.323004+00:00
52848_B07TB596SL,52848,B07TB596SL,"{""score"": 0, ""rationale"": ""The query does not relate to the described women's graphic T‑shirt.""}",0,The query does not relate to the described women's graphic T‑shirt.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:43:04.060317+00:00
1755_3740812176,1755,3740812176,"{""score"": 3, ""rationale"": ""The product is a list of 111 places in Washington you must not miss, directly matching the query despite the women's history focus.""}",3,"The product is a list of 111 places in Washington you must not miss, directly matching the query despite the women's history focus.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:43:49.013187+00:00
18269_0399580107,18269,0399580107,"{""score"": 0, ""rationale"": ""The product is a cookbook, not a bong or related accessory.""}",0,"The product is a cookbook, not a bong or related accessory.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:46:50.795232+00:00
45218_B078WY2VTB,45218,B078WY2VTB,"{
  ""score"": 2,
  ""rationale"": ""The book covers similar themes but is not by or about Viktor Frankl, so it's a plausible substitute, not an exact match.""
}",2,"The book covers similar themes but is not by or about Viktor Frankl, so it's a plausible substitute, not an exact match.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:49:17.728699+00:00
114906_B07HF4FGDK,114906,B07HF4FGDK,"{""score"": 2, ""rationale"": ""Provides a rug but lacks the yellow toilet seat cover and color mismatch.""}",2,Provides a rug but lacks the yellow toilet seat cover and color mismatch.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:53:12.731111+00:00
78186_B097RPHJL6,78186,B097RPHJL6,"{""score"": 3, ""rationale"": ""Product is a Paul Rich watch, directly matching the query.""}",3,"Product is a Paul Rich watch, directly matching the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:56:41.435989+00:00
20352_B077T78C4V,20352,B077T78C4V,"{""score"": 2, ""rationale"": ""It's a chair cushion accessory, but the color/pattern does not match the requested buffalo plaid style.""}",2,"It's a chair cushion accessory, but the color/pattern does not match the requested buffalo plaid style.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:59:42.659542+00:00
36821_B07BNYQ8PS,36821,B07BNYQ8PS,"{""score"": 3, ""rationale"": ""Twin-size egg crate mattress topper directly matches the query.""}",3,Twin-size egg crate mattress topper directly matches the query.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:02:35.485667+00:00
53393_1951056779,53393,1951056779,"{""score"": 0, ""rationale"": ""The book set about emotions is unrelated to a query for inside family therapy.""}",0,The book set about emotions is unrelated to a query for inside family therapy.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:06:25.551673+00:00
97499_B07YYSMX6S,97499,B07YYSMX6S,"{""score"": 0, ""rationale"": ""The product is leggings, not women's socks, so it is irrelevant to the query.""}",0,"The product is leggings, not women's socks, so it is irrelevant to the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:06:26.838291+00:00
101655_B001KBYPIG,101655,B001KBYPIG,"{""score"": 2, ""rationale"": ""Same brand backpack but not a hydration-specific model""}",2,Same brand backpack but not a hydration-specific model,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:09:41.544812+00:00
50750_B075WSLRFQ,50750,B075WSLRFQ,"{""score"": 2, ""rationale"": ""It's a wand massager similar in function but not the Hitachi original brand requested.""}",2,It's a wand massager similar in function but not the Hitachi original brand requested.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:12:44.614392+00:00
79595_B08CZRLLC7,79595,B08CZRLLC7,"{""score"": 3, ""rationale"": ""Product is a phone cleaning/soap device matching the likely intended query.""}",3,Product is a phone cleaning/soap device matching the likely intended query.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:15:36.588642+00:00
39081_B082QV3Z49,39081,B082QV3Z49,"{""score"": 2, ""rationale"": ""It's a lip therapy balm but not the FAB brand the query implies.""}",2,It's a lip therapy balm but not the FAB brand the query implies.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:17:57.388751+00:00
6973_B085MXBDYM,6973,B085MXBDYM,"{""score"": 0, ""rationale"": ""The product is a kid‑oriented superhero sticker set, not adult or bomb‑themed stickers.""}",0,"The product is a kid‑oriented superhero sticker set, not adult or bomb‑themed stickers.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:20:48.594329+00:00
105693_B074X9ZCP2,105693,B074X9ZCP2,"{""score"": 2, ""rationale"": ""It's lingerie suitable for sex but does not mention tummy control, so only a plausible substitute.""}",2,"It's lingerie suitable for sex but does not mention tummy control, so only a plausible substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:24:02.450026+00:00
86327_B07P1CJFT5,86327,B07P1CJFT5,"{""score"": 1, ""rationale"": ""The product is a controller accessory, not the Red Dead Redemption 2 game itself.""}",1,"The product is a controller accessory, not the Red Dead Redemption 2 game itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:28:15.679469+00:00
26650_B00CZ9LV9I,26650,B00CZ9LV9I,"{""score"": 3, ""rationale"": ""Exact match to the requested Clean Dump bypass kit""}",3,Exact match to the requested Clean Dump bypass kit,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:30:19.737097+00:00
58256_B08268W4LT,58256,B08268W4LT,"{""score"": 1, ""rationale"": ""The product is a filter set for the K5 system, serving as an accessory rather than the drinking water station itself.""}",1,"The product is a filter set for the K5 system, serving as an accessory rather than the drinking water station itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:33:14.256871+00:00
17451_B08BG5VZCB,17451,B08BG5VZCB,"{""score"": 3, ""rationale"": ""Product includes a blue reusable stainless steel straw, directly matching the query.""}",3,"Product includes a blue reusable stainless steel straw, directly matching the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:37:13.930291+00:00
24317_B08GS54QT1,24317,B08GS54QT1,"{""score"": 0, ""rationale"": ""The product is a garden hook, unrelated to a cemetery without crosses.""}",0,"The product is a garden hook, unrelated to a cemetery without crosses.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:39:35.172654+00:00
92130_B08X11HGPG,92130,B08X11HGPG,"{""score"": 3, ""rationale"": ""The product includes sexy women's booty shorts, directly matching the query.""}",3,"The product includes sexy women's booty shorts, directly matching the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:43:50.559179+00:00
78470_B07PJ41WPD,78470,B07PJ41WPD,"{""score"": 1, ""rationale"": ""The product is a drum‑key accessory, not a Pearl percussion kit, but it relates as a complementary tool.""}",1,"The product is a drum‑key accessory, not a Pearl percussion kit, but it relates as a complementary tool.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:46:01.947813+00:00
70230_B079CR71SL,70230,B079CR71SL,"{""score"": 1, ""rationale"": ""The product is epoxy resin, a material used with molds, not a mold itself.""}",1,"The product is epoxy resin, a material used with molds, not a mold itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:49:45.341746+00:00
26792_B07BHCS2HW,26792,B07BHCS2HW,"{""score"": 0, ""rationale"": ""No price or clearance info provided, so relevance cannot be established""}",0,"No price or clearance info provided, so relevance cannot be established",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:52:42.554966+00:00
2501_B071KWLJH6,2501,B071KWLJH6,"{""score"": 1, ""rationale"": ""The item is an adapter for a 2.5\"" hitch, not the hitch itself.""}",1,"The item is an adapter for a 2.5"" hitch, not the hitch itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:54:27.904537+00:00
70931_B07TKSRYY1,70931,B07TKSRYY1,"{""score"": 1, ""rationale"": ""The item is a skull face mask accessory, not a motorcycle helmet itself, but could be used for a costume.""}",1,"The item is a skull face mask accessory, not a motorcycle helmet itself, but could be used for a costume.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:56:47.402492+00:00
94390_B07TXM4QZG,94390,B07TXM4QZG,"{""score"": 3, ""rationale"": ""Product exactly matches a sliding wrist rest for mouse""}",3,Product exactly matches a sliding wrist rest for mouse,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:00:18.731019+00:00
66516_B07RZHKKQW,66516,B07RZHKKQW,"{""score"": 2, ""rationale"": ""Generic short brown wig could serve as a substitute but is not the specific Max from Stranger Things wig requested.""}",2,Generic short brown wig could serve as a substitute but is not the specific Max from Stranger Things wig requested.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:03:10.243439+00:00
53284_B07T3QDHDL,53284,B07T3QDHDL,"{""score"": 2, ""rationale"": ""It's an inflatable travel pillow with a pump, but it's a foot‑rest pillow for kids rather than the typical neck travel pillow requested.""}",2,"It's an inflatable travel pillow with a pump, but it's a foot‑rest pillow for kids rather than the typical neck travel pillow requested.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:05:29.719386+00:00
10125_B07DM5LBK5,10125,B07DM5LBK5,"{""score"": 0, ""rationale"": ""The product is a basketball hoop game, not a fitting or accessory for an arcade console.""}",0,"The product is a basketball hoop game, not a fitting or accessory for an arcade console.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:09:37.000450+00:00
102700_B07HPCGMLW,102700,B07HPCGMLW,"{""score"": 2, ""rationale"": ""Braided extension cord but wrong length (10 ft) and includes a power strip, so only a plausible substitute.""}",2,"Braided extension cord but wrong length (10 ft) and includes a power strip, so only a plausible substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:11:57.199387+00:00
114851_B07G5XGQ2L,114851,B07G5XGQ2L,"{""score"": 2, ""rationale"": ""Gold turtleneck matches color and style but is a leotard, not the typical garment likely sought.""}",2,"Gold turtleneck matches color and style but is a leotard, not the typical garment likely sought.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:15:07.663726+00:00
80448_B0797CMZ15,80448,B0797CMZ15,"{""score"": 0, ""rationale"": ""The product is a DMX lighting interface, not a speaker.""}",0,"The product is a DMX lighting interface, not a speaker.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:17:06.943143+00:00
102365_0882848623,102365,0882848623,"{""score"": 3, ""rationale"": ""The product is a piano collection explicitly focused on the Romantic period in music.""}",3,The product is a piano collection explicitly focused on the Romantic period in music.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:20:29.264274+00:00
194_B019JI9SZQ,194,B019JI9SZQ,"{""score"": 0, ""rationale"": ""Product details give no indication it concerns batteries or their inclusion.""}",0,Product details give no indication it concerns batteries or their inclusion.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:22:27.773878+00:00
55891_B004LR5NEG,55891,B004LR5NEG,"{""score"": 1, ""rationale"": ""It's an accessory (trailer lock) for a trailer, not the jet ski trailer itself.""}",1,"It's an accessory (trailer lock) for a trailer, not the jet ski trailer itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:25:33.945581+00:00
57622_B07MM5T7YW,57622,B07MM5T7YW,"{""score"": 0, ""rationale"": ""The product is an adult men's waterproof boot, not a kid's rain boot.""}",0,"The product is an adult men's waterproof boot, not a kid's rain boot.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:28:19.294093+00:00
12188_B07L7NPLPJ,12188,B07L7NPLPJ,"{""score"": 3, ""rationale"": ""The product is a baby sleep positioning pillow designed to keep infants aligned, matching the side sleeping positioner query.""}",3,"The product is a baby sleep positioning pillow designed to keep infants aligned, matching the side sleeping positioner query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:31:54.384148+00:00
99440_B0812B4HBM,99440,B0812B4HBM,"{""score"": 2, ""rationale"": ""Different brand (Champion) but still clothing, so a plausible substitute.""}",2,"Different brand (Champion) but still clothing, so a plausible substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:33:09.514520+00:00
47401_B01IF7KODW,47401,B01IF7KODW,"{""score"": 0, ""rationale"": ""The product is white/green/yellow socks, unrelated to a pink Green Bay item.""}",0,"The product is white/green/yellow socks, unrelated to a pink Green Bay item.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:35:37.670105+00:00
85311_B078Y9BHNV,85311,B078Y9BHNV,"{""score"": 2, ""rationale"": ""Matches the 'Not Today Satan' design but is a different brand than the queried Rae Dunn mug.""}",2,Matches the 'Not Today Satan' design but is a different brand than the queried Rae Dunn mug.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:38:49.078699+00:00
10125_B001UW9Z6M,10125,B001UW9Z6M,"{""score"": 0, ""rationale"": ""The product is a Wii game, not an arcade console or accessory.""}",0,"The product is a Wii game, not an arcade console or accessory.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:40:43.364461+00:00
5689_B07FK94YHD,5689,B07FK94YHD,"{
  ""score"": 2,
  ""rationale"": ""Sherpa‑lined jacket matches the shearling interior but is a soft‑shell, not a vintage denim jean jacket.""
}",2,"Sherpa‑lined jacket matches the shearling interior but is a soft‑shell, not a vintage denim jean jacket.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:43:53.606285+00:00
53752_B07CVW4JCS,53752,B07CVW4JCS,"{""score"": 1, ""rationale"": ""The product is a converter adapter for analog cameras, not an actual IP camera.""}",1,"The product is a converter adapter for analog cameras, not an actual IP camera.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:47:08.895130+00:00
85118_B01D6TGVHW,85118,B01D6TGVHW,"{""score"": 1, ""rationale"": ""The mug is a quirky literary accessory, not the requested reading material itself.""}",1,"The mug is a quirky literary accessory, not the requested reading material itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:50:49.109652+00:00
8384_B07H23DNXJ,8384,B07H23DNXJ,"{""score"": 0, ""rationale"": ""The product is a foundation, not a dermatologist-recommended face fluid.""}",0,"The product is a foundation, not a dermatologist-recommended face fluid.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:52:16.435487+00:00
1857_B07KPKVF45,1857,B07KPKVF45,"{""score"": 1, ""rationale"": ""The item is a protective silicone boot accessory for 12 oz bottles, not the hydroflask itself.""}",1,"The item is a protective silicone boot accessory for 12 oz bottles, not the hydroflask itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:54:32.562224+00:00
31853_B08S3GBHL8,31853,B08S3GBHL8,"{""score"": 2, ""rationale"": ""Rane ONE is a DJ controller but not the specific DDJ-SX3 model requested.""}",2,Rane ONE is a DJ controller but not the specific DDJ-SX3 model requested.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:57:46.900035+00:00
5184_B016V6U6CI,5184,B016V6U6CI,"{""score"": 0, ""rationale"": ""The product is a 1‑carat round solitaire, not a 75‑carat curved ring.""}",0,"The product is a 1‑carat round solitaire, not a 75‑carat curved ring.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:00:32.309764+00:00
43685_B084QMKN3F,43685,B084QMKN3F,"{""score"": 0, ""rationale"": ""The product is a futon mattress only, but the query wants a futon without a mattress.""}",0,"The product is a futon mattress only, but the query wants a futon without a mattress.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:02:08.723046+00:00
7839_B084DGCM79,7839,B084DGCM79,"{""score"": 1, ""rationale"": ""It's a rack mount clamp accessory compatible with the Alesis Forge kit, not the kit itself.""}",1,"It's a rack mount clamp accessory compatible with the Alesis Forge kit, not the kit itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:06:03.972564+00:00
75296_B07P1FX1PV,75296,B07P1FX1PV,"{""score"": 2, ""rationale"": ""Generic gun lubricant that could be used on a Glock 21 but not a specific oil for that model""}",2,Generic gun lubricant that could be used on a Glock 21 but not a specific oil for that model,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:09:18.374070+00:00
83594_B07G8NDVT2,83594,B07G8NDVT2,"{""score"": 2, ""rationale"": ""It's an adjustable dumbbell set but not the ProForm brand requested.""}",2,It's an adjustable dumbbell set but not the ProForm brand requested.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:13:14.588726+00:00
61231_B00JYD5AGI,61231,B00JYD5AGI,"{""score"": 0, ""rationale"": ""The product is a football game, unrelated to LEGO or baseball.""}",0,"The product is a football game, unrelated to LEGO or baseball.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:14:12.759882+00:00
101795_B086CY5GK6,101795,B086CY5GK6,"{""score"": 3, ""rationale"": ""The product is a sleep dress/nightgown, directly matching the queried nightgown dress.""}",3,"The product is a sleep dress/nightgown, directly matching the queried nightgown dress.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:15:59.083786+00:00
1088_B01HPCWUDK,1088,B01HPCWUDK,"{""score"": 0, ""rationale"": ""The product is a fire truck toy with sounds, not a 1/24 Tesla model and includes sounds, so it is irrelevant.""}",0,"The product is a fire truck toy with sounds, not a 1/24 Tesla model and includes sounds, so it is irrelevant.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:19:12.264216+00:00
59652_B084GDXD2D,59652,B084GDXD2D,"{""score"": 3, ""rationale"": ""Lake-themed napkins are a direct, gift-appropriate item for lake life enthusiasts.""}",3,"Lake-themed napkins are a direct, gift-appropriate item for lake life enthusiasts.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:22:19.479869+00:00
74567_B07KMLPP54,74567,B07KMLPP54,"{
  ""score"": 1,
  ""rationale"": ""The item is a vape accessory (decal) but not a vape device and not specific to 'Novia' brand.""
}",1,The item is a vape accessory (decal) but not a vape device and not specific to 'Novia' brand.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:25:47.099141+00:00
58015_1414387520,58015,1414387520,"{""score"": 3, ""rationale"": ""A bilingual toddler's Bible directly matches a Spanish Bible for kids.""}",3,A bilingual toddler's Bible directly matches a Spanish Bible for kids.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:28:35.218581+00:00
52222_B01CMM8GU4,52222,B01CMM8GU4,"{""score"": 1, ""rationale"": ""The product is a hydraulic filter assembly, an accessory, not the requested hydraulic oil.""}",1,"The product is a hydraulic filter assembly, an accessory, not the requested hydraulic oil.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:31:56.646691+00:00
89140_B01DW94RL8,89140,B01DW94RL8,"{""score"": 3, ""rationale"": ""The product is explicitly a runner rug, directly matching the query.""}",3,"The product is explicitly a runner rug, directly matching the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:33:29.796033+00:00
97128_B0016AJC5W,97128,B0016AJC5W,"{""score"": 0, ""rationale"": ""The product is a sprinkler hose, while the query seeks a sprinkler without a hose.""}",0,"The product is a sprinkler hose, while the query seeks a sprinkler without a hose.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:36:43.187680+00:00
2979_B006LN7XAK,2979,B006LN7XAK,"{""score"": 2, ""rationale"": ""The product is a foam roller, matching the type, but it is a single unit, not the 24-pack implied by the query.""}",2,"The product is a foam roller, matching the type, but it is a single unit, not the 24-pack implied by the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:39:44.630715+00:00
20352_B07RNMRRDJ,20352,B07RNMRRDJ,"{""score"": 3, ""rationale"": ""Product is buffalo plaid chair cushions matching the query exactly""}",3,Product is buffalo plaid chair cushions matching the query exactly,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:43:21.712834+00:00
7538_B0836GDKS9,7538,B0836GDKS9,"{""score"": 1, ""rationale"": ""The product is a protective case for Airpods 2, an accessory rather than the Airpods themselves.""}",1,"The product is a protective case for Airpods 2, an accessory rather than the Airpods themselves.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:45:53.970740+00:00
88928_B07JL9ZS35,88928,B07JL9ZS35,"{""score"": 2, ""rationale"": ""It's a women's Birkenstock sandal but not made of rubber, so only a plausible substitute.""}",2,"It's a women's Birkenstock sandal but not made of rubber, so only a plausible substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:48:49.371810+00:00
74120_B08WPQD58D,74120,B08WPQD58D,"{""score"": 2, ""rationale"": ""A different card game, not the requested 'No U' game, but could serve as a substitute.""}",2,"A different card game, not the requested 'No U' game, but could serve as a substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:51:06.876266+00:00
41709_B095Z3FD9J,41709,B095Z3FD9J,"{""score"": 0, ""rationale"": ""The product is a white foam tape, not green as requested.""}",0,"The product is a white foam tape, not green as requested.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:53:32.024988+00:00
41957_B07C3FKJF7,41957,B07C3FKJF7,"{""score"": 3, ""rationale"": ""The product is a food‑related gift card, directly matching the 'foodgifts' query.""}",3,"The product is a food‑related gift card, directly matching the 'foodgifts' query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:55:14.390503+00:00
35690_B01NAIX3Q7,35690,B01NAIX3Q7,"{""score"": 2, ""rationale"": ""Product is dried cherries but is sweetened, not the unsweetened variety requested.""}",2,"Product is dried cherries but is sweetened, not the unsweetened variety requested.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T10:58:27.722404+00:00
81100_B07RN27YRN,81100,B07RN27YRN,"{
  ""score"": 2,
  ""rationale"": ""Product includes plastic spoons but only as part of a 100‑piece bulk set, not a 10‑pack.""
}",2,"Product includes plastic spoons but only as part of a 100‑piece bulk set, not a 10‑pack.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T11:01:59.052969+00:00
48559_B07G399ZYW,48559,B07G399ZYW,"{""score"": 1, ""rationale"": ""Shoes are an accessory, not a costume, for the requested Halloween outfits.""}",1,"Shoes are an accessory, not a costume, for the requested Halloween outfits.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T11:04:59.471288+00:00
5259_B00JJIEE4M,5259,B00JJIEE4M,"{""score"": 2, ""rationale"": ""Has a physical write‑protect switch but capacity is unspecified, so it may not be the requested 8 GB drive.""}",2,"Has a physical write‑protect switch but capacity is unspecified, so it may not be the requested 8 GB drive.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T11:08:27.805874+00:00
105279_B07JKFWPX2,105279,B07JKFWPX2,"{""score"": 3, ""rationale"": ""The product is men's triathlon shorts, directly matching the query 'trimens'.""}",3,"The product is men's triathlon shorts, directly matching the query 'trimens'.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T11:10:40.097375+00:00
95214_B083FLGKBN,95214,B083FLGKBN,"{""score"": 1, ""rationale"": ""The item is a faucet aerator accessory, not a faucet itself, so it’s a related complement.""}",1,"The item is a faucet aerator accessory, not a faucet itself, so it’s a related complement.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T11:14:38.322551+00:00
