pair_id,query_id,product_id,raw_response,gpt_score,rationale,parse_status,model_label,run_date,relevance,query,title,brand
109275_B07X8HRLJJ,109275,B07X8HRLJJ,"{""score"": 0, ""rationale"": ""The query refers to W&W Lifetime, but the product is a DasMarine marine hatch, unrelated.""}",0,"The query refers to W&W Lifetime, but the product is a DasMarine marine hatch, unrelated.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:28:18.398674+00:00,0,w & w lifetime,"DasMarine 2Pack of 7 inch Hatch Round Non Slip Inspection Hatch w/Detachable Cover for Marine Boat Yacht, 10"" External Diameter, 7"" Opening Size (Black)",DasMarine
41429_B07R645F4Z,41429,B07R645F4Z,"{""score"": 2, ""rationale"": ""Baseball-style tee but pattern is polka dots, not floral, making it a plausible substitute.""}",2,"Baseball-style tee but pattern is polka dots, not floral, making it a plausible substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:30:06.842645+00:00,2,floral baseball tee,"Zeagoo Women's Polka Dots Shirt Striped 3/4 Sleeve Casual Scoop Neck Tops Tee, Aqua Green, XX-Large",Zeagoo
101609_B07LB3YSHH,101609,B07LB3YSHH,"{""score"": 1, ""rationale"": ""The product is a roof accessory for the Teryx 4, not the ATV itself.""}",1,"The product is a roof accessory for the Teryx 4, not the ATV itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:33:55.334397+00:00,1,teryx 4,"SuperATV Dark Tinted Roof for 2014+ Teryx 4 800 | 1/4"" Polycarbonate 250X Stronger Than Glass | Protects Against Weather and Debris | Snug, Rattle-Free Fit | USA Made!",SuperATV.com
6845_B077VTX4KZ,6845,B077VTX4KZ,"{""score"": 3, ""rationale"": ""The product is an expandable, adjustable rack shelf matching the query.""}",3,"The product is an expandable, adjustable rack shelf matching the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:36:52.240281+00:00,0,adjustable rack shelf,Spicy Shelf Deluxe - Expandable Spice Rack and Stackable Cabinet & Pantry Organizer (1 Set of 2 shelves) - As seen on TV,Spicy Shelf
1829_B07B3WF2Y2,1829,B07B3WF2Y2,"{""score"": 3, ""rationale"": ""Exact match: product is a 12\"" miter saw as requested.""}",3,"Exact match: product is a 12"" miter saw as requested.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:40:18.323004+00:00,3,12 inch miter saw,"Makita LS1219L 12"" Dual-Bevel Sliding Compound Miter Saw with Laser",Makita
52848_B07TB596SL,52848,B07TB596SL,"{""score"": 0, ""rationale"": ""The query does not relate to the described women's graphic T‑shirt.""}",0,The query does not relate to the described women's graphic T‑shirt.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:43:04.060317+00:00,0,imagine not as much,Nlife Women Thou Shall Not Try Me Letter Print Long Sleeve Crew Neck T-Shirt Top,Nlife
1755_3740812176,1755,3740812176,"{""score"": 3, ""rationale"": ""The product is a list of 111 places in Washington you must not miss, directly matching the query despite the women's history focus.""}",3,"The product is a list of 111 places in Washington you must not miss, directly matching the query despite the women's history focus.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:43:49.013187+00:00,0,111 places in washington that you must not miss,111 Places in Women's History in Washington That You Must Not Miss (111 Places in .... That You Must Not Miss),
18269_0399580107,18269,0399580107,"{""score"": 0, ""rationale"": ""The product is a cookbook, not a bong or related accessory.""}",0,"The product is a cookbook, not a bong or related accessory.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:46:50.795232+00:00,1,bong,Bong Appétit: Mastering the Art of Cooking with Weed [A Cookbook],Ten Speed Press
45218_B078WY2VTB,45218,B078WY2VTB,"{
  ""score"": 2,
  ""rationale"": ""The book covers similar themes but is not by or about Viktor Frankl, so it's a plausible substitute, not an exact match.""
}",2,"The book covers similar themes but is not by or about Viktor Frankl, so it's a plausible substitute, not an exact match.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:49:17.728699+00:00,0,gift victor franko,The Meaning of Life: One man's journey and discovery of life's most important question,
114906_B07HF4FGDK,114906,B07HF4FGDK,"{""score"": 2, ""rationale"": ""Provides a rug but lacks the yellow toilet seat cover and color mismatch.""}",2,Provides a rug but lacks the yellow toilet seat cover and color mismatch.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:53:12.731111+00:00,2,yellow toilet seat cover and rug set,"Pauwer Bath Rug Set 2 Piece Microfiber Bathroom Mats and U-Shaped Toilet Rug Non Slip Bath Rugs Machine Washable Absorbent Shaggy Bath Mats for Tub, Shower, Bathroom Floor (21"" x 34""+20""x 20"", Grey)",Pauwer
78186_B097RPHJL6,78186,B097RPHJL6,"{""score"": 3, ""rationale"": ""Product is a Paul Rich watch, directly matching the query.""}",3,"Product is a Paul Rich watch, directly matching the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:56:41.435989+00:00,3,paul and rich,Frosted Star Dust - Silver 45 mm,PR Paul Rich
20352_B077T78C4V,20352,B077T78C4V,"{""score"": 2, ""rationale"": ""It's a chair cushion accessory, but the color/pattern does not match the requested buffalo plaid style.""}",2,"It's a chair cushion accessory, but the color/pattern does not match the requested buffalo plaid style.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T07:59:42.659542+00:00,2,buffalo plaid dining chair cushions,"Pillow Perfect Indoor/Check Please Thunder Chair Pad, Reversible, Black, 2 Piece",Pillow Perfect
36821_B07BNYQ8PS,36821,B07BNYQ8PS,"{""score"": 3, ""rationale"": ""Twin-size egg crate mattress topper directly matches the query.""}",3,Twin-size egg crate mattress topper directly matches the query.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:02:35.485667+00:00,3,eggshell mattress pad twin,"Best Price Mattress 3 Inch Egg Crate Memory Foam Mattress Topper with Soothing Lavender Infusion, CertiPUR-US Certified, Twin",Best Price Mattress
53393_1951056779,53393,1951056779,"{""score"": 0, ""rationale"": ""The book set about emotions is unrelated to a query for inside family therapy.""}",0,The book set about emotions is unrelated to a query for inside family therapy.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:06:25.551673+00:00,0,inside family therapy,"Ninja Life Hacks Emotions and Feelings 8 Book Box Set (Books 1-8: Angry, Inventor, Positive, Lazy, Helpful, Earth, Grumpy, Kind)",
97499_B07YYSMX6S,97499,B07YYSMX6S,"{""score"": 0, ""rationale"": ""The product is leggings, not women's socks, so it is irrelevant to the query.""}",0,"The product is leggings, not women's socks, so it is irrelevant to the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:06:26.838291+00:00,0,stance socks women,"Randolly Women's Fashion Gothic Style Printed Stretch Skinny Leggings, Ladies Pencil Skinny Sport Pants Tights Trousers S-3XL",Randolly
101655_B001KBYPIG,101655,B001KBYPIG,"{""score"": 2, ""rationale"": ""Same brand backpack but not a hydration-specific model""}",2,Same brand backpack but not a hydration-specific model,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:09:41.544812+00:00,3,teton hydration backpack,"TETON Sports Scout 3400 Internal Frame Backpack; High-Performance Backpack for Backpacking, Hiking, Camping; Mecca Orange",TETON Sports
50750_B075WSLRFQ,50750,B075WSLRFQ,"{""score"": 2, ""rationale"": ""It's a wand massager similar in function but not the Hitachi original brand requested.""}",2,It's a wand massager similar in function but not the Hitachi original brand requested.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:12:44.614392+00:00,2,hitachi massage wand original,"Cordless Wand Massager- 20 Vibration Patterns 8 Powerful Speeds, USB Rechargeable Handheld Personal Body Massager for Muscle Aches and Sports Recovery.",James love
79595_B08CZRLLC7,79595,B08CZRLLC7,"{""score"": 3, ""rationale"": ""Product is a phone cleaning/soap device matching the likely intended query.""}",3,Product is a phone cleaning/soap device matching the likely intended query.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:15:36.588642+00:00,3,phone sap,Cellphone Cleaning Box Phone Soap Mobile Phone Cleaning Box | USB Charging for iOS Android Phone Toothbrush Jewelry Watches Makeup Box,PUREFUL
39081_B082QV3Z49,39081,B082QV3Z49,"{""score"": 2, ""rationale"": ""It's a lip therapy balm but not the FAB brand the query implies.""}",2,It's a lip therapy balm but not the FAB brand the query implies.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:17:57.388751+00:00,1,fab lip therapy,"Chap-Lip Vitamin E Lip Balm with Coconut Oil - Lip Moisturizer Treatment - Moisturizing, Soothing, Refreshing, Total Hydration Treatment & Lip Therapy - Assortment of 6 Refreshing Flavors, 48 Count",Chap-Lip Lip Balm
6973_B085MXBDYM,6973,B085MXBDYM,"{""score"": 0, ""rationale"": ""The product is a kid‑oriented superhero sticker set, not adult or bomb‑themed stickers.""}",0,"The product is a kid‑oriented superhero sticker set, not adult or bomb‑themed stickers.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:20:48.594329+00:00,2,adult stickers for men bomb,"150pcs Superhero Vinyl Waterproof Stickers for Laptop Hydro flasks Water Bottles Bikes Luggage Skateboard Bumper, Graffiti Stickers with Party Favors for Kids",zheyistep
105693_B074X9ZCP2,105693,B074X9ZCP2,"{""score"": 2, ""rationale"": ""It's lingerie suitable for sex but does not mention tummy control, so only a plausible substitute.""}",2,"It's lingerie suitable for sex but does not mention tummy control, so only a plausible substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:24:02.450026+00:00,2,tummy control lingerie for women for sex,Vorifun Women Fishnet Lingerie See Through Sleepwear One Piece V-Neck Babydoll Mini Dress One Size (Black),Vorifun
86327_B07P1CJFT5,86327,B07P1CJFT5,"{""score"": 1, ""rationale"": ""The product is a controller accessory, not the Red Dead Redemption 2 game itself.""}",1,"The product is a controller accessory, not the Red Dead Redemption 2 game itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:28:15.679469+00:00,1,red dead redemption 2 xbox one,"DreamController Original Wireless Custom Xbox One Controller - Xbox One Custom Controller Works with Xbox One S/Xbox One X/PC/Laptop with Windows 10, Custom Anti-Slip Gaming Controller with Bluetooth",DreamController
26650_B00CZ9LV9I,26650,B00CZ9LV9I,"{""score"": 3, ""rationale"": ""Exact match to the requested Clean Dump bypass kit""}",3,Exact match to the requested Clean Dump bypass kit,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:30:19.737097+00:00,3,clean dump bypass kit,Clean Dump CDDK Grey Water Bypass Kit,Clean Dump
58256_B08268W4LT,58256,B08268W4LT,"{""score"": 1, ""rationale"": ""The product is a filter set for the K5 system, serving as an accessory rather than the drinking water station itself.""}",1,"The product is a filter set for the K5 system, serving as an accessory rather than the drinking water station itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:33:14.256871+00:00,1,kinetico k5 drinking water station,K5 REVERSE OSMOSIS SET OF TASTE ODOR 9306B & CARBON SEDIMENT FILTER 9461A,KINETICO
17451_B08BG5VZCB,17451,B08BG5VZCB,"{""score"": 3, ""rationale"": ""Product includes a blue reusable stainless steel straw, directly matching the query.""}",3,"Product includes a blue reusable stainless steel straw, directly matching the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:37:13.930291+00:00,2,blue reusable straws,KKMO 5 Pieces Stainless Steel Reusable Drinking Straws with 1 Cleaning Brush Ring Design Black Blue Purple Laser Rainbow Silver Color for Mason Jar Yeti,KKMO
24317_B08GS54QT1,24317,B08GS54QT1,"{""score"": 0, ""rationale"": ""The product is a garden hook, unrelated to a cemetery without crosses.""}",0,"The product is a garden hook, unrelated to a cemetery without crosses.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:39:35.172654+00:00,0,cemetery without crosses,"Artigarden 76 inch Outdoor Shepherd Hook with 5 Prong Base (2 Packs), Adjustable Heavy Duty Garden Hanging Stake for Bird Feeder Solar Light Plant Hanger Wedding Decor, Matte Black",Artigarden
92130_B08X11HGPG,92130,B08X11HGPG,"{""score"": 3, ""rationale"": ""The product includes sexy women's booty shorts, directly matching the query.""}",3,"The product includes sexy women's booty shorts, directly matching the query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:43:50.559179+00:00,2,sexy womens shorts,FAFOFA Women's Sexy Sports Bra Ribbed Seamless Bodycon Booty Shorts Sets GMY 2 Piece Outfits Beige L,QINSEN
78470_B07PJ41WPD,78470,B07PJ41WPD,"{""score"": 1, ""rationale"": ""The product is a drum‑key accessory, not a Pearl percussion kit, but it relates as a complementary tool.""}",1,"The product is a drum‑key accessory, not a Pearl percussion kit, but it relates as a complementary tool.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:46:01.947813+00:00,1,pearl percussion kit,EASTROCK Drum Keys 3-Pack with Continuous Motion Speed Key Universal Drum Tuning Key Percussion Hardware Tool,EASTROCK
70230_B079CR71SL,70230,B079CR71SL,"{""score"": 1, ""rationale"": ""The product is epoxy resin, a material used with molds, not a mold itself.""}",1,"The product is epoxy resin, a material used with molds, not a mold itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:49:45.341746+00:00,1,moldes para resina epoxi,"Incredible Solutions Crystal Clear Cast Tabletop Epoxy, UV Resistant High Gloss Finishing, Bar Countertop Resin Coating, Easy-to-Use 1:1 Mixing Ratio, Acrylic Glossy Coat, DIY Self-Leveling - 1 Gallon",Incredible Solutions
26792_B07BHCS2HW,26792,B07BHCS2HW,"{""score"": 0, ""rationale"": ""No price or clearance info provided, so relevance cannot be established""}",0,"No price or clearance info provided, so relevance cannot be established",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:52:42.554966+00:00,3,clearance items under 5 dollars,"Newtons Soft & Fruit Chewy Fig Cookies, 12 Snack Packs (2 Cookies Per Pack)",Newtons
2501_B071KWLJH6,2501,B071KWLJH6,"{""score"": 1, ""rationale"": ""The item is an adapter for a 2.5\"" hitch, not the hitch itself.""}",1,"The item is an adapter for a 2.5"" hitch, not the hitch itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:54:27.904537+00:00,1,2 1/2 inch trailer hitch,Receiver Hitch Adapter (RH-252C) - 2.5 inch to 2 inch - Made in U.S.A.,Rigid Hitch
70931_B07TKSRYY1,70931,B07TKSRYY1,"{""score"": 1, ""rationale"": ""The item is a skull face mask accessory, not a motorcycle helmet itself, but could be used for a costume.""}",1,"The item is a skull face mask accessory, not a motorcycle helmet itself, but could be used for a costume.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T08:56:47.402492+00:00,1,motorcycle helmet costime,"HONCENMAX Motorbike Off-Road Riding Goggles Glasses with Skull Face Mask - for Tactical Helmet M88,MICH Motorcycle Open Face Helmet - for Spooky Decor Halloween Mask Cos Mask",HONCENMAX
94390_B07TXM4QZG,94390,B07TXM4QZG,"{""score"": 3, ""rationale"": ""Product exactly matches a sliding wrist rest for mouse""}",3,Product exactly matches a sliding wrist rest for mouse,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:00:18.731019+00:00,3,sliding mouse wrist rest,StarTech.com Wrist Rest - Ergonomic Desk Wrist Pad - Sliding Wrist Rest for Mouse - Silver Fabric - Office Wrist Support (ROLWRSTRST),StarTech
66516_B07RZHKKQW,66516,B07RZHKKQW,"{""score"": 2, ""rationale"": ""Generic short brown wig could serve as a substitute but is not the specific Max from Stranger Things wig requested.""}",2,Generic short brown wig could serve as a substitute but is not the specific Max from Stranger Things wig requested.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:03:10.243439+00:00,0,max from stranger things wig,Karlery Men Women Rocker Short Bob Curly Brown Gold Mustache Beard Wig California Halloween Cosplay Wig Anime Costume Party Wig,karlery
53284_B07T3QDHDL,53284,B07T3QDHDL,"{""score"": 2, ""rationale"": ""It's an inflatable travel pillow with a pump, but it's a foot‑rest pillow for kids rather than the typical neck travel pillow requested.""}",2,"It's an inflatable travel pillow with a pump, but it's a foot‑rest pillow for kids rather than the typical neck travel pillow requested.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:05:29.719386+00:00,0,inflatable travel pillow with pump,"Upgraded with Pump (1x) Inflatable Travel Foot Rest Pillow | Kids Airplane Bed to Sleep | Adjustable Height Leg Pillow | Best Kids Travel Accessories for Air (2, Grey with Pump)",BONAIR OUTFITTERS
10125_B07DM5LBK5,10125,B07DM5LBK5,"{""score"": 0, ""rationale"": ""The product is a basketball hoop game, not a fitting or accessory for an arcade console.""}",0,"The product is a basketball hoop game, not a fitting or accessory for an arcade console.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:09:37.000450+00:00,0,arcade console fitting,Kiddie Play Toy Basketball Hoop Arcade Game indoor Sports Toys for Kids,Kiddie Play
102700_B07HPCGMLW,102700,B07HPCGMLW,"{""score"": 2, ""rationale"": ""Braided extension cord but wrong length (10 ft) and includes a power strip, so only a plausible substitute.""}",2,"Braided extension cord but wrong length (10 ft) and includes a power strip, so only a plausible substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:11:57.199387+00:00,0,thin fabric braided extension cords 12ft,"Cordinate Designer 3-Outlet Power Strip with Surge Protection, 10 Ft Braided Extension Cord, Tamper Resistant Safety Outlets, Low-Profile Flat Plug, ETL Listed, Black/Dark Heather, 43013",Cordinate
114851_B07G5XGQ2L,114851,B07G5XGQ2L,"{""score"": 2, ""rationale"": ""Gold turtleneck matches color and style but is a leotard, not the typical garment likely sought.""}",2,"Gold turtleneck matches color and style but is a leotard, not the typical garment likely sought.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:15:07.663726+00:00,3,yellow gold turtleneck,"Speerise Adult Shiny Metallic One Pieces Turtleneck Dance Leotard Bodysuit Costume, S, Gold",speerise
80448_B0797CMZ15,80448,B0797CMZ15,"{""score"": 0, ""rationale"": ""The product is a DMX lighting interface, not a speaker.""}",0,"The product is a DMX lighting interface, not a speaker.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:17:06.943143+00:00,1,pioneer dj speakers,Pioneer DJ RB-DMX1 - Rekordbox DMX Interface - DMX512,Pioneer DJ
102365_0882848623,102365,0882848623,"{""score"": 3, ""rationale"": ""The product is a piano collection explicitly focused on the Romantic period in music.""}",3,The product is a piano collection explicitly focused on the Romantic period in music.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:20:29.264274+00:00,1,the romantic period,"The Romantic Spirit (1790--1910), Bk 2: 21 Intermediate to Early Advanced Piano Solos Reflecting the Influence of 13 Great Composers on the Romantic Period, Book & CD (The Spirit Series, Bk 2)",Alfred Publishing
194_B019JI9SZQ,194,B019JI9SZQ,"{""score"": 0, ""rationale"": ""Product details give no indication it concerns batteries or their inclusion.""}",0,Product details give no indication it concerns batteries or their inclusion.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:22:27.773878+00:00,0,* batteries not included,Short Circuit,
55891_B004LR5NEG,55891,B004LR5NEG,"{""score"": 1, ""rationale"": ""It's an accessory (trailer lock) for a trailer, not the jet ski trailer itself.""}",1,"It's an accessory (trailer lock) for a trailer, not the jet ski trailer itself.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:25:33.945581+00:00,1,jet ski trailer,"Shoreline Marine Trailer Coupler Lock, Single",Shoreline Marine
57622_B07MM5T7YW,57622,B07MM5T7YW,"{""score"": 0, ""rationale"": ""The product is an adult men's waterproof boot, not a kid's rain boot.""}",0,"The product is an adult men's waterproof boot, not a kid's rain boot.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:28:19.294093+00:00,0,kid rain boots,"Sorel Madson Moc Toe Waterproof Boot - Men's Elk, 11.5",Sorel
12188_B07L7NPLPJ,12188,B07L7NPLPJ,"{""score"": 3, ""rationale"": ""The product is a baby sleep positioning pillow designed to keep infants aligned, matching the side sleeping positioner query.""}",3,"The product is a baby sleep positioning pillow designed to keep infants aligned, matching the side sleeping positioner query.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:31:54.384148+00:00,3,baby side sleeping positioner,Baby Stereotypes Pillow Infant Newborn Anti Rollover Mattress Pillow for 0 12 Months Baby Sleep Positioning (Grey),VoPee
99440_B0812B4HBM,99440,B0812B4HBM,"{""score"": 2, ""rationale"": ""Different brand (Champion) but still clothing, so a plausible substitute.""}",2,"Different brand (Champion) but still clothing, so a plausible substitute.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:33:09.514520+00:00,3,supreme brand clothing,"Champion Kids Clothes Boys Performance Big Logo Tech Athletic Tee Shirt (Large, Black)",Champion
47401_B01IF7KODW,47401,B01IF7KODW,"{""score"": 0, ""rationale"": ""The product is white/green/yellow socks, unrelated to a pink Green Bay item.""}",0,"The product is white/green/yellow socks, unrelated to a pink Green Bay item.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:35:37.670105+00:00,0,greenbay in pink,Leotruny Over the Calf Tube Socks (White/Green/Yellow),Leotruny
85311_B078Y9BHNV,85311,B078Y9BHNV,"{""score"": 2, ""rationale"": ""Matches the 'Not Today Satan' design but is a different brand than the queried Rae Dunn mug.""}",2,Matches the 'Not Today Satan' design but is a different brand than the queried Rae Dunn mug.,valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:38:49.078699+00:00,3,rae dunn not today satan mug,"Dicksons Not Today Satan, I'm Armed Black with Lavender 11 Ounce Ceramic Coffee Mug",Dicksons
10125_B001UW9Z6M,10125,B001UW9Z6M,"{""score"": 0, ""rationale"": ""The product is a Wii game, not an arcade console or accessory.""}",0,"The product is a Wii game, not an arcade console or accessory.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:40:43.364461+00:00,0,arcade console fitting,Arcade Zone - Nintendo Wii,ACTIVISION
5689_B07FK94YHD,5689,B07FK94YHD,"{
  ""score"": 2,
  ""rationale"": ""Sherpa‑lined jacket matches the shearling interior but is a soft‑shell, not a vintage denim jean jacket.""
}",2,"Sherpa‑lined jacket matches the shearling interior but is a soft‑shell, not a vintage denim jean jacket.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:43:53.606285+00:00,2,"I would buy a vintage jean jacket, with a shearling lined interior. ","Levi's Men's Soft Shell Two Pocket Sherpa Lined Hooded Trucker Jacket, Graphite Heather, Large",Levi's
53752_B07CVW4JCS,53752,B07CVW4JCS,"{""score"": 1, ""rationale"": ""The product is a converter adapter for analog cameras, not an actual IP camera.""}",1,"The product is a converter adapter for analog cameras, not an actual IP camera.",valid,"openai/gpt-oss-120b (Groq API, automated)",2026-08-19T09:47:08.895130+00:00,1,ip camera,"HDView Convert Analog Cameras to IP Cameras, PoE Realtime Encoder Converter Adapter, DVS, Support 4MP AHD 2MP TVI/AHD Cameras",HDView
