pair_id,relevance
7538_B07H461TBQ,2
53741_B088D63KWX,2
81686_B07TKZCSMW,2
2303_B00NW9KL7I,3
105279_B07JKFWPX2,3
110997_B07M5H81GK,3
114106_B095S77TJM,3
20623_B07ZQG2MQK,3
62517_B07C7266YK,3
39195_B08BJ1MTJY,3
24803_B08CZ67W4K,3
31804_B093YWVDWD,3
106563_0385742525,3
113375_B07LCGMVFP,3
99284_B07D17VXFJ,3
50526_B01DTZV6YQ,3
47397_B01GF3HK9O,3
5265_B07ZQ2875V,3
100208_B01IB3TF0S,3
71400_B07MK2284T,3
16318_B07MY2MSMH,3
107018_B07TFGT3RG,3
18631_B082FX57RK,3
59652_B084GDXD2D,3
12188_B07L7NPLPJ,3
53752_B011US2ADK,3
10565_B07T4FC87V,3
17677_B082M4GL4X,3
1607_B0814FZTRC,3
60945_B075XLRHNQ,3
31182_B07J5WGR4J,3
38955_B091FKTCN8,3
1005_B07F2MFYL3,3
11832_B074TSNMRH,3
114106_B01KI4EMQA,3
31549_B09B6QGJPM,3
66396_B00A01BBCA,3
2658_B076DKND6Z,3
115196_B0773ZM6Z9,3
52588_B07C5R1P7Y,3
21309_B08LMJVKYW,3
99440_B0812B4HBM,3
94192_B07N3TMDRT,3
92006_B086BLX1B4,3
80839_B00X1AOO7G,3
26792_B07BHCS2HW,3
43663_B00JM82H0W,3
109851_B07DPJNDVZ,3
113966_B091YP5Z92,3
25110_B07V1W84HP,3
52588_B07VF49KMP,3
20940_B07P98N5VT,3
52886_B000LQDB4A,3
74120_B07P8WVZ5D,3
48591_B07X3L6QRC,3
83594_B07G8NDVT2,3
72811_B07MDCSV7D,3
42856_B00PUPNEPS,3
60058_B08FD5L26V,3
25808_B00005OACK,3
23033_B00C8UB2PW,3
61084_B073V9R1GG,3
35000_B07S92Q8RB,3
31503_B01IR8QGK4,3
1829_B07B3WF2Y2,3
95531_B082K9XD4X,3
75849_B085N8K9MS,3
51699_B076JXW7D6,3
26981_B00U2T6SQ4,3
92635_B07M8SJHWT,3
52465_B005W31HFC,3
111753_B010U5SDBM,3
20352_B07RNMRRDJ,3
17011_B08T1YQTNZ,3
3450_B08512NLJ7,3
105822_B07VJCXC66,3
110719_014240120X,3
85311_B078Y9BHNV,3
74705_B00MFAOWJ8,3
78186_B097RPHJL6,3
42291_B07BTSGQQG,3
75529_B00CAZAU62,3
69915_1684150124,3
67965_B0054KHLZ8,3
94390_B07TXM4QZG,3
114851_B07G5XGQ2L,3
2546_B07J6RP8X5,3
86659_B083J7NZ6G,3
36821_B07BNYQ8PS,3
26787_B073R62C3Q,3
100149_B07MKDQML9,3
89140_B01DW94RL8,3
6627_B006J2I2FS,3
112417_B07N55YRM6,3
101655_B001KBYPIG,3
89412_B086MYW134,3
2464_B06Y1F2W4F,3
101795_B086CY5GK6,3
26650_B00CZ9LV9I,3
79595_B08CZRLLC7,3
21855_B07HJRSNH6,3
46616_B06XGFN6J6,3
7986_B00B73MULG,3
