query_id,raw_query,prompt_version,raw_gpt_response,expanded_query_gpt,intent_gpt,category_gpt,uncertainty_gpt,review_decision,reviewed_query,review_reason,model_label,run_date,minutes_spent,parse_status
11632,b000ap7v1q,rewrite_v1,"{
  ""expanded_query"": ""b000ap7v1q"",
  ""intent"": ""transactional"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",b000ap7v1q,transactional,unknown,high,accept,b000ap7v1q,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:52.792874+00:00,,valid
11683,b52,rewrite_v1,"{
  ""expanded_query"": ""B52"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",B52,informational,unknown,high,accept,b52,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:54.232891+00:00,,valid
11900,baby doppler,rewrite_v1,"{
  ""expanded_query"": ""baby doppler"",
  ""intent"": ""transactional"",
  ""category"": ""fetal doppler"",
  ""uncertainty"": ""low""
}",baby doppler,transactional,fetal doppler,low,accept,baby doppler,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:55.441320+00:00,,valid
12415,backdrop,rewrite_v1,"{
  ""expanded_query"": ""backdrop"",
  ""intent"": ""transactional"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",backdrop,transactional,unknown,high,accept,backdrop,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:56.643211+00:00,,valid
12503,backwash connector,rewrite_v1,"{
  ""expanded_query"": ""backwash connector"",
  ""intent"": ""transactional"",
  ""category"": ""pool equipment"",
  ""uncertainty"": ""low""
}",backwash connector,transactional,pool equipment,low,accept,backwash connector,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:57.768852+00:00,,valid
12915,banana phone,rewrite_v1,"{
  ""expanded_query"": ""banana phone"",
  ""intent"": ""transactional"",
  ""category"": ""phones"",
  ""uncertainty"": ""medium""
}",banana phone,transactional,phones,medium,accept,banana phone,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:58.875316+00:00,,valid
14731,behringer headphone,rewrite_v1,"{
  ""expanded_query"": ""Behringer headphones"",
  ""intent"": ""transactional"",
  ""category"": ""headphones"",
  ""uncertainty"": ""low""
}",Behringer headphones,transactional,headphones,low,accept,Behringer headphones,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:23:59.840117+00:00,,valid
17185,block table,rewrite_v1,"{
  ""expanded_query"": ""block table"",
  ""intent"": ""transactional"",
  ""category"": ""tables"",
  ""uncertainty"": ""high""
}",block table,transactional,tables,high,accept,block table,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:01.111254+00:00,,valid
18307,boogie scooper,rewrite_v1,"{
  ""expanded_query"": ""boogie scooper"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",boogie scooper,informational,unknown,high,accept,boogie scooper,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:02.306318+00:00,,valid
19879,broadway hd,rewrite_v1,"{
  ""expanded_query"": ""Broadway HD"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""medium""
}",Broadway HD,informational,unknown,medium,accept,broadway hd,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:03.532028+00:00,,valid
20419,build miniatures,rewrite_v1,"{
  ""expanded_query"": ""build miniatures"",
  ""intent"": ""informational"",
  ""category"": ""miniatures"",
  ""uncertainty"": ""medium""
}",build miniatures,informational,miniatures,medium,accept,build miniatures,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:04.699448+00:00,,valid
20845,butter bronzer,rewrite_v1,"{
  ""expanded_query"": ""butter bronzer"",
  ""intent"": ""transactional"",
  ""category"": ""bronzer"",
  ""uncertainty"": ""low""
}",butter bronzer,transactional,bronzer,low,accept,butter bronzer,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:05.898349+00:00,,valid
21382,cajun seasoning,rewrite_v1,"{
  ""expanded_query"": ""cajun seasoning"",
  ""intent"": ""transactional"",
  ""category"": ""spices & seasonings"",
  ""uncertainty"": ""low""
}",cajun seasoning,transactional,spices & seasonings,low,accept,cajun seasoning,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:06.874236+00:00,,valid
24664,challenger k1,rewrite_v1,"{
  ""expanded_query"": ""Challenger K1"",
  ""intent"": ""transactional"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",Challenger K1,transactional,unknown,high,accept,challenger k1,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:08.031949+00:00,,valid
25034,charred food,rewrite_v1,"{
  ""expanded_query"": ""charred food"",
  ""intent"": ""informational"",
  ""category"": ""food"",
  ""uncertainty"": ""high""
}",charred food,informational,food,high,accept,charred food,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:09.239158+00:00,,valid
25752,chocolate sweets,rewrite_v1,"{
  ""expanded_query"": ""chocolate sweets"",
  ""intent"": ""transactional"",
  ""category"": ""confectionery"",
  ""uncertainty"": ""low""
}",chocolate sweets,transactional,confectionery,low,accept,chocolate sweets,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:10.228483+00:00,,valid
27175,coaching confidence,rewrite_v1,"{
  ""expanded_query"": ""confidence coaching"",
  ""intent"": ""informational"",
  ""category"": ""coaching"",
  ""uncertainty"": ""high""
}",confidence coaching,informational,coaching,high,accept,confidence coaching,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:11.117373+00:00,,valid
28131,command shelfs,rewrite_v1,"{
  ""expanded_query"": ""command shelves"",
  ""intent"": ""transactional"",
  ""category"": ""shelves"",
  ""uncertainty"": ""medium""
}",command shelves,transactional,shelves,medium,accept,command shelves,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:12.405753+00:00,,valid
28323,computer,rewrite_v1,"{
  ""expanded_query"": ""computer"",
  ""intent"": ""transactional"",
  ""category"": ""computers"",
  ""uncertainty"": ""high""
}",computer,transactional,computers,high,accept,computer,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:13.378670+00:00,,valid
28847,cooler master אם'קר,rewrite_v1,"{
  ""expanded_query"": ""Cooler Master"",
  ""intent"": ""transactional"",
  ""category"": ""computer hardware"",
  ""uncertainty"": ""medium""
}",Cooler Master,transactional,computer hardware,medium,accept,Cooler Master,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:14.584732+00:00,,valid
30019,creme fraiche,rewrite_v1,"{
  ""expanded_query"": ""creme fraiche"",
  ""intent"": ""transactional"",
  ""category"": ""creme fraiche"",
  ""uncertainty"": ""low""
}",creme fraiche,transactional,creme fraiche,low,accept,creme fraiche,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:17.126474+00:00,,valid
30063,crewneck sweatshirt,rewrite_v1,"{
  ""expanded_query"": ""crewneck sweatshirt"",
  ""intent"": ""transactional"",
  ""category"": ""sweatshirts"",
  ""uncertainty"": ""low""
}",crewneck sweatshirt,transactional,sweatshirts,low,accept,crewneck sweatshirt,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:19.403792+00:00,,valid
30099,cricut basswood,rewrite_v1,"{
  ""expanded_query"": ""Cricut basswood"",
  ""intent"": ""transactional"",
  ""category"": ""craft supplies"",
  ""uncertainty"": ""low""
}",Cricut basswood,transactional,craft supplies,low,accept,cricut basswood,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:21.858074+00:00,,valid
30101,cricut create,rewrite_v1,"{
  ""expanded_query"": ""Cricut Create"",
  ""intent"": ""transactional"",
  ""category"": ""craft cutting machine"",
  ""uncertainty"": ""low""
}",Cricut Create,transactional,craft cutting machine,low,accept,cricut create,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:24.356527+00:00,,valid
30327,cross trainer,rewrite_v1,"{
  ""expanded_query"": ""cross trainer"",
  ""intent"": ""transactional"",
  ""category"": ""elliptical trainer"",
  ""uncertainty"": ""low""
}",cross trainer,transactional,elliptical trainer,low,accept,cross trainer,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:26.885629+00:00,,valid
30462,cs,rewrite_v1,"{
  ""expanded_query"": ""cs"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",cs,informational,unknown,high,accept,cs,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:29.537999+00:00,,valid
30897,cushion grip,rewrite_v1,"{
  ""expanded_query"": ""cushion grip"",
  ""intent"": ""transactional"",
  ""category"": ""cushion accessories"",
  ""uncertainty"": ""medium""
}",cushion grip,transactional,cushion accessories,medium,accept,cushion grip,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:31.814410+00:00,,valid
31804,dbxing,rewrite_v1,"{
  ""expanded_query"": ""dbxing"",
  ""intent"": ""transactional"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",dbxing,transactional,unknown,high,accept,dbxing,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:34.331390+00:00,,valid
32479,dermaplane glo,rewrite_v1,"{
  ""expanded_query"": ""Dermaplane Glo product"",
  ""intent"": ""transactional"",
  ""category"": ""beauty tools"",
  ""uncertainty"": ""medium""
}",Dermaplane Glo product,transactional,beauty tools,medium,accept,Dermaplane Glo product,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:37.159382+00:00,,valid
32836,dewalt flexvolt,rewrite_v1,"{
  ""expanded_query"": ""DeWalt FlexVolt"",
  ""intent"": ""transactional"",
  ""category"": ""power tools"",
  ""uncertainty"": ""low""
}",DeWalt FlexVolt,transactional,power tools,low,accept,dewalt flexvolt,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:40.090795+00:00,,valid
34080,dk space,rewrite_v1,"{
  ""expanded_query"": ""DK Space"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",DK Space,informational,unknown,high,accept,dk space,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:42.951596+00:00,,valid
34530,dog rug,rewrite_v1,"{
  ""expanded_query"": ""dog rug"",
  ""intent"": ""transactional"",
  ""category"": ""rugs"",
  ""uncertainty"": ""low""
}",dog rug,transactional,rugs,low,accept,dog rug,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:45.516281+00:00,,valid
34913,dorm appliances,rewrite_v1,"{
  ""expanded_query"": ""appliances for dorm rooms"",
  ""intent"": ""transactional"",
  ""category"": ""appliances"",
  ""uncertainty"": ""low""
}",appliances for dorm rooms,transactional,appliances,low,accept,appliances for dorm rooms,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:48.076326+00:00,,valid
36500,easy hold,rewrite_v1,"{
  ""expanded_query"": ""easy hold"",
  ""intent"": ""transactional"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",easy hold,transactional,unknown,high,accept,easy hold,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:50.562443+00:00,,valid
36827,ego charger,rewrite_v1,"{
  ""expanded_query"": ""ego charger"",
  ""intent"": ""transactional"",
  ""category"": ""charger"",
  ""uncertainty"": ""low""
}",ego charger,transactional,charger,low,accept,ego charger,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:53.119621+00:00,,valid
37666,enema bottles,rewrite_v1,"{
  ""expanded_query"": ""enema bottles"",
  ""intent"": ""transactional"",
  ""category"": ""medical supplies"",
  ""uncertainty"": ""low""
}",enema bottles,transactional,medical supplies,low,accept,enema bottles,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:55.632944+00:00,,valid
37740,english saddle,rewrite_v1,"{
  ""expanded_query"": ""English saddle"",
  ""intent"": ""transactional"",
  ""category"": ""Saddles"",
  ""uncertainty"": ""low""
}",English saddle,transactional,Saddles,low,accept,english saddle,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:24:58.046771+00:00,,valid
38449,european nutella,rewrite_v1,"{
  ""expanded_query"": ""Nutella chocolate hazelnut spread sold in Europe"",
  ""intent"": ""transactional"",
  ""category"": ""food spreads"",
  ""uncertainty"": ""medium""
}",Nutella chocolate hazelnut spread sold in Europe,transactional,food spreads,medium,accept,Nutella chocolate hazelnut spread sold in Europe,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:00.627524+00:00,,valid
38686,exploring magnets,rewrite_v1,"{
  ""expanded_query"": ""magnets"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",magnets,informational,unknown,high,accept,magnets,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:02.777607+00:00,,valid
38714,extendable straw,rewrite_v1,"{
  ""expanded_query"": ""extendable straw"",
  ""intent"": ""transactional"",
  ""category"": ""straws"",
  ""uncertainty"": ""low""
}",extendable straw,transactional,straws,low,accept,extendable straw,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:05.241128+00:00,,valid
38861,extraction press,rewrite_v1,"{
  ""expanded_query"": ""extraction press"",
  ""intent"": ""transactional"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",extraction press,transactional,unknown,high,accept,extraction press,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:07.773843+00:00,,valid
39087,fabric,rewrite_v1,"{
  ""expanded_query"": ""fabric"",
  ""intent"": ""informational"",
  ""category"": ""fabric"",
  ""uncertainty"": ""high""
}",fabric,informational,fabric,high,accept,fabric,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:10.438258+00:00,,valid
39371,fake medals,rewrite_v1,"{
  ""expanded_query"": ""fake medals"",
  ""intent"": ""transactional"",
  ""category"": ""medals"",
  ""uncertainty"": ""low""
}",fake medals,transactional,medals,low,accept,fake medals,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:12.991738+00:00,,valid
39476,fall truck,rewrite_v1,"{
  ""expanded_query"": ""fall truck"",
  ""intent"": ""transactional"",
  ""category"": ""truck"",
  ""uncertainty"": ""high""
}",fall truck,transactional,truck,high,accept,fall truck,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:15.500470+00:00,,valid
40396,fingerboard,rewrite_v1,"{
  ""expanded_query"": ""fingerboard"",
  ""intent"": ""transactional"",
  ""category"": ""fingerboards"",
  ""uncertainty"": ""low""
}",fingerboard,transactional,fingerboards,low,accept,fingerboard,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:18.059849+00:00,,valid
40567,fireplace stockings,rewrite_v1,"{
  ""expanded_query"": ""fireplace stockings"",
  ""intent"": ""transactional"",
  ""category"": ""fireplace stockings"",
  ""uncertainty"": ""medium""
}",fireplace stockings,transactional,fireplace stockings,medium,accept,fireplace stockings,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:20.498363+00:00,,valid
40747,fishing knife,rewrite_v1,"{
  ""expanded_query"": ""fishing knife"",
  ""intent"": ""transactional"",
  ""category"": ""knives"",
  ""uncertainty"": ""low""
}",fishing knife,transactional,knives,low,accept,fishing knife,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:22.872292+00:00,,valid
40749,fishing likes,rewrite_v1,"{
  ""expanded_query"": ""fishing likes"",
  ""intent"": ""informational"",
  ""category"": ""fishing"",
  ""uncertainty"": ""high""
}",fishing likes,informational,fishing,high,accept,fishing likes,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:25.311634+00:00,,valid
41152,flavor ice,rewrite_v1,"{
  ""expanded_query"": ""flavor ice"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""medium""
}",flavor ice,informational,unknown,medium,accept,flavor ice,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:27.647158+00:00,,valid
41539,flowerarrangement,rewrite_v1,"{
  ""expanded_query"": ""flower arrangement"",
  ""intent"": ""transactional"",
  ""category"": ""flower arrangements"",
  ""uncertainty"": ""medium""
}",flower arrangement,transactional,flower arrangements,medium,accept,flower arrangement,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:29.960440+00:00,,valid
41899,food,rewrite_v1,"{
  ""expanded_query"": ""food"",
  ""intent"": ""informational"",
  ""category"": ""food"",
  ""uncertainty"": ""high""
}",food,informational,food,high,accept,food,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:32.637857+00:00,,valid
42179,formal cape,rewrite_v1,"{
  ""expanded_query"": ""formal cape"",
  ""intent"": ""transactional"",
  ""category"": ""capes"",
  ""uncertainty"": ""low""
}",formal cape,transactional,capes,low,accept,formal cape,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:35.026087+00:00,,valid
42856,frozen theme,rewrite_v1,"{
  ""expanded_query"": ""frozen theme"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",frozen theme,informational,unknown,high,accept,frozen theme,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:37.522474+00:00,,valid
43826,gacha life,rewrite_v1,"{
  ""expanded_query"": ""Gacha Life game"",
  ""intent"": ""informational"",
  ""category"": ""mobile video game"",
  ""uncertainty"": ""low""
}",Gacha Life game,informational,mobile video game,low,accept,Gacha Life game,"manually reviewed by user, no invented brand/attribute/size found, accepted as-is","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:40.122853+00:00,,valid
44437,gardening hat,rewrite_v1,"{
  ""expanded_query"": ""gardening hat"",
  ""intent"": ""transactional"",
  ""category"": ""gardening hats"",
  ""uncertainty"": ""low""
}",gardening hat,transactional,gardening hats,low,accept,gardening hat,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:42.582211+00:00,,valid
44822,gemini ailer,rewrite_v1,"{
  ""expanded_query"": ""Gemini Ailer"",
  ""intent"": ""transactional"",
  ""category"": ""unknown"",
  ""uncertainty"": ""medium""
}",Gemini Ailer,transactional,unknown,medium,accept,gemini ailer,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:45.467975+00:00,,valid
46097,glowstrike darts,rewrite_v1,"{
  ""expanded_query"": ""glowstrike darts"",
  ""intent"": ""transactional"",
  ""category"": ""darts"",
  ""uncertainty"": ""low""
}",glowstrike darts,transactional,darts,low,accept,glowstrike darts,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:48.048201+00:00,,valid
47297,green dissolve,rewrite_v1,"{
  ""expanded_query"": ""green dissolve"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",green dissolve,informational,unknown,high,accept,green dissolve,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:53.163434+00:00,,valid
47506,grey sweater,rewrite_v1,"{
  ""expanded_query"": ""grey sweater"",
  ""intent"": ""transactional"",
  ""category"": ""Sweater"",
  ""uncertainty"": ""low""
}",grey sweater,transactional,Sweater,low,accept,grey sweater,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:54.200857+00:00,,valid
47538,griddle hack,rewrite_v1,"{
  ""expanded_query"": ""griddle hack"",
  ""intent"": ""informational"",
  ""category"": ""cooking"",
  ""uncertainty"": ""low""
}",griddle hack,informational,cooking,low,accept,griddle hack,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:25:56.855086+00:00,,valid
47566,grill plate,rewrite_v1,"{
  ""expanded_query"": ""grill plate"",
  ""intent"": ""transactional"",
  ""category"": ""grill accessories"",
  ""uncertainty"": ""low""
}",grill plate,transactional,grill accessories,low,accept,grill plate,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:26:01.486416+00:00,,valid
50768,hnbun,rewrite_v1,"{
  ""expanded_query"": ""hnbun"",
  ""intent"": ""informational"",
  ""category"": ""unknown"",
  ""uncertainty"": ""high""
}",hnbun,informational,unknown,high,accept,hnbun,"no rewrite made (expanded_query == raw_query), nothing to review for invented content","openai/gpt-oss-120b (Groq API, automated generation)",2026-08-19T06:26:02.514580+00:00,,valid
