pair_id,query_id,product_id,query,title,brand,product_text
6845_B077VTX4KZ,6845,B077VTX4KZ,adjustable rack shelf,Spicy Shelf Deluxe - Expandable Spice Rack and Stackable Cabinet & Pantry Organizer (1 Set of 2 shelves) - As seen on TV,Spicy Shelf,"Is your Spicy Shelf Deluxe real? See the description to learn how to tell a fake (and poor quality) one from a REAL Spicy Shelf Deluxe
New and improved Spicy Shelf Deluxe! 5 times stronger than the original. Now holds up to 40 pounds and has a ""non-slip"" surface!
Spicy Shelf Deluxe is not just for Spices. With over a million already sold, satisfied customers everywhere are using their Spicy Shelve"
1829_B07B3WF2Y2,1829,B07B3WF2Y2,12 inch miter saw,"Makita LS1219L 12"" Dual-Bevel Sliding Compound Miter Saw with Laser",Makita,"Unique 2-steel rail sliding system design offers single slide-glide operation; reduced saw footprint allows operation flush against a wall
Increased capacity for up to 8"" Crown molding (vertically nested), 6-3/4"" baseboard (vertical), and 15"" crosscuts at 90
In-front bevel lock for convenient operation
Dual dust collection ports provide excellent dust extraction performance
Innovative direct drive"
52848_B07TB596SL,52848,B07TB596SL,imagine not as much,Nlife Women Thou Shall Not Try Me Letter Print Long Sleeve Crew Neck T-Shirt Top,Nlife,"★ SOFT FABRICS: The cute graphic tops for women is made of cotton blend, the fabric is soft and will not shrink significantly in the wash. Recommended machine wash cold inside out with like colors / tumble dry low/hand wash
★ FEATURE: Thou Shall Not Try Me t shirt with sayings, funny tank tops letter print design. Preshrunk cotton material, it is very comfy and stretchy to wear. Sleeveless tank to"
1755_3740812176,1755,3740812176,111 places in washington that you must not miss,111 Places in Women's History in Washington That You Must Not Miss (111 Places in .... That You Must Not Miss),,
18269_0399580107,18269,0399580107,bong,Bong Appétit: Mastering the Art of Cooking with Weed [A Cookbook],Ten Speed Press,
45218_B078WY2VTB,45218,B078WY2VTB,gift victor franko,The Meaning of Life: One man's journey and discovery of life's most important question,,Why are we here? Does life have a purpose? The answer to both of these questions and an explanation of what is enlightenment and how do you become enlightened.
114906_B07HF4FGDK,114906,B07HF4FGDK,yellow toilet seat cover and rug set,"Pauwer Bath Rug Set 2 Piece Microfiber Bathroom Mats and U-Shaped Toilet Rug Non Slip Bath Rugs Machine Washable Absorbent Shaggy Bath Mats for Tub, Shower, Bathroom Floor (21"" x 34""+20""x 20"", Grey)",Pauwer,"[PAMPER YOUR FEET] - This soft microfiber shag bathroom mat is constructed with thousands of individual polyester microfiber shags, sink your toes into the comfortable contentment of a bathroom floor mat. Soft pile that soothes tired foot and shields toes from the cold floor.
[ULTRA ABSORBENT] - The microfiber shagggy bath rug is more absorbant than cotton bath rugs. 0.6"" high piles help to save y"
78186_B097RPHJL6,78186,B097RPHJL6,paul and rich,Frosted Star Dust - Silver 45 mm,PR Paul Rich,"KEEP TIME BOLDLY with Paul Rich Luxury Watches for men. Our Frosted Star Dust Mens Dress Watches exude taste and sophistication, signaling that you have arrived professionally and that time is money.
ACCURATE AND RELIABLE Paul Rich Watches for men use globally recognized Miyota Quartz movements for accuracy and reliability. When seconds count, our mens luxury watch collection keeps you on-schedule"
20352_B077T78C4V,20352,B077T78C4V,buffalo plaid dining chair cushions,"Pillow Perfect Indoor/Check Please Thunder Chair Pad, Reversible, Black, 2 Piece",Pillow Perfect,"Includes two (2) decorative chair pad cushions filled with 100-percent polyester fiber filling; suitable for indoor use
Attached ties keep chair cushion securely fastened to your furniture
Easy care - lightly spot clean or handle wash fabric with mild detergent and cool water; then let air dry. Recycled polyester fiber fill is plush, comfortable, and long-lasting; sewn seam closure
Measures: 16-in"
36821_B07BNYQ8PS,36821,B07BNYQ8PS,eggshell mattress pad twin,"Best Price Mattress 3 Inch Egg Crate Memory Foam Mattress Topper with Soothing Lavender Infusion, CertiPUR-US Certified, Twin",Best Price Mattress,"Amazing comfort from body conforming memory foam
Responsive active suspension isolates motion so no disruption for your sleep partner
Body conforming memory foam which provides incredible comfort throughout the body
3 year
CertiPUR us certified memory foam"
53393_1951056779,53393,1951056779,inside family therapy,"Ninja Life Hacks Emotions and Feelings 8 Book Box Set (Books 1-8: Angry, Inventor, Positive, Lazy, Helpful, Earth, Grumpy, Kind)",,
97499_B07YYSMX6S,97499,B07YYSMX6S,stance socks women,"Randolly Women's Fashion Gothic Style Printed Stretch Skinny Leggings, Ladies Pencil Skinny Sport Pants Tights Trousers S-3XL",Randolly,
101655_B001KBYPIG,101655,B001KBYPIG,teton hydration backpack,"TETON Sports Scout 3400 Internal Frame Backpack; High-Performance Backpack for Backpacking, Hiking, Camping; Mecca Orange",TETON Sports,"NOT YOUR BASIC BACKPACK: Continues to be the top selling internal frame backpack on Amazon at a great price for all the included features; Backpack for men and women
VERSATILE QUICK TRIP PACK: Just right for youth and adults for light backpacking trips; best for 2-4-day adventures; 3400 cubic inches (55 L) capacity; weighs 4.5 pounds (2 kg)
COMFORT YOU CAN CUSTOMIZE: Multi-position torso adjustmen"
50750_B075WSLRFQ,50750,B075WSLRFQ,hitachi massage wand original,"Cordless Wand Massager- 20 Vibration Patterns 8 Powerful Speeds, USB Rechargeable Handheld Personal Body Massager for Muscle Aches and Sports Recovery.",James love,"❤ FATIGUE RELIEF - The Wand Massager is your move personal masseuse, Relieves built-up muscle tension and pain . Built for deep tissue body massage.
❤ 20X8 POWERFUL PULSATION - This Body Massager provide powerful 20 parttens & 8 8peeds vibration setting. Delivers you intense, concentrated power to your tense muscles! Choose the suitable frequency and fully relax yourself!
❤ CORDLESS AND USB RECHAR"
548_B08R3HNZKQ,548,B08R3HNZKQ,06 tailgate without clearance lights,"Cab Marker Lights, Nifeida 12LED Cab Roof Top Lamp Clearance Running Light Replacement Kit for 2003-2018 Dodge Ram 1500 2500 3500 4500 5500 Pickup Truck(5Pack) (Smoke Lens)",nifeida,"💡【Fit For】2003-2010 Dodge Ram 1500 2500 3500 4500 5500, for 2011-2018 Ram 1500 2500 3500 4500 5500 pickup trucks with stock cab marker lights. ☛☛100% SATISFACTION: We offer worry-free refund & 12month warranty, you can feel comfortable to buy and use.
💡【High Quality】Nifeida roof marker lights made of durable ABS material which have been UV treated, so they will not fade from prolonged exposure to "
79595_B08CZRLLC7,79595,B08CZRLLC7,phone sap,Cellphone Cleaning Box Phone Soap Mobile Phone Cleaning Box | USB Charging for iOS Android Phone Toothbrush Jewelry Watches Makeup Box,PUREFUL,"【Comprehensive 360 Degree Exposure】Double side of the tube crossed Exposure, 360 degrees circulation without dead Angle, Ensures maximum coverage and effectiveness.
【Aromatherapy Function】Built-in incense tablets, A aroma slot at a corner allows you to put a few drops of perfume or essential oil there. If the item needs aromatherapy, After adding essential oils, press the right aromatherapy key to"
39081_B082QV3Z49,39081,B082QV3Z49,fab lip therapy,"Chap-Lip Vitamin E Lip Balm with Coconut Oil - Lip Moisturizer Treatment - Moisturizing, Soothing, Refreshing, Total Hydration Treatment & Lip Therapy - Assortment of 6 Refreshing Flavors, 48 Count",Chap-Lip Lip Balm,"CHAP-LIP LIP BALM - Jar of 48 tubes, variety of 6 refreshing flavors, 8 from each: Grape, Cherries, Original, Berries, Citrus, & Coconut. The flavors are subtle but unmistakably refreshing. These flavors help moisturize and soothe your lips
MOISTURIZING TREATMENT - Moisturizing, Soothing, & Refreshing, with Vitamin E. Get relief from cold sores, fever blisters, and chapped lips. Our Chap Lip lip b"
6973_B085MXBDYM,6973,B085MXBDYM,adult stickers for men bomb,"150pcs Superhero Vinyl Waterproof Stickers for Laptop Hydro flasks Water Bottles Bikes Luggage Skateboard Bumper, Graffiti Stickers with Party Favors for Kids",zheyistep,
105693_B074X9ZCP2,105693,B074X9ZCP2,tummy control lingerie for women for sex,Vorifun Women Fishnet Lingerie See Through Sleepwear One Piece V-Neck Babydoll Mini Dress One Size (Black),Vorifun,"Made of high quality fabric, very soft and comfortable.
10 colors to choose from, you are bound to find one color that is your favorite and suits you best.
Occasion: Nightwear, Sleepwear, Underwear, or Clubwear. Perfect for valentine's day, anniversaries, date nights, wedding nights, honeymoon, lingerie party, sleeping,
Excellent flexibility ! Free size :One size fits XS~XXL .
Package Content: 1 x"
86327_B07P1CJFT5,86327,B07P1CJFT5,red dead redemption 2 xbox one,"DreamController Original Wireless Custom Xbox One Controller - Xbox One Custom Controller Works with Xbox One S/Xbox One X/PC/Laptop with Windows 10, Custom Anti-Slip Gaming Controller with Bluetooth",DreamController,"This design x box one controller and special editions material reduce the weight of the product, and the anti-slip design on both sides make sure you can still enjoy with it after a long period of use with longer lasting comfort and gameplay
This x box controllers can be compatible with x box one, x box one x, Windows 10 and other platforms.
The x box one original wireless controller includes a br"
26650_B00CZ9LV9I,26650,B00CZ9LV9I,clean dump bypass kit,Clean Dump CDDK Grey Water Bypass Kit,Clean Dump,"Ball Valve To Avoid Paper Plugs When Dumping Black Tank
Item Package Weight:0.249 Kilograms
Package Dimensions: 22.86 L X 2.794 H X 17.018 W (Centimeters)
Product Type:Auto Accessory"
58256_B08268W4LT,58256,B08268W4LT,kinetico k5 drinking water station,K5 REVERSE OSMOSIS SET OF TASTE ODOR 9306B & CARBON SEDIMENT FILTER 9461A,KINETICO,Reverse Osmosis
17451_B08BG5VZCB,17451,B08BG5VZCB,blue reusable straws,KKMO 5 Pieces Stainless Steel Reusable Drinking Straws with 1 Cleaning Brush Ring Design Black Blue Purple Laser Rainbow Silver Color for Mason Jar Yeti,KKMO,"✔ Package Includes:5 PCS (Rainbow,Black,Blue,Silver,Purple)reusable stainless straws + 1 cleaning brush.Before using them,you have better washing them firstly. You can reuse them at various parties, also great for carrying while traveling with KKMO our storage bag
✔ Material: Crafted from Elegant Polished 100% Food Grade Stainless Steel. Type 304 grade 18/8. Will Not Rust, Dent or Break. Straws Cl"
24317_B08GS54QT1,24317,B08GS54QT1,cemetery without crosses,"Artigarden 76 inch Outdoor Shepherd Hook with 5 Prong Base (2 Packs), Adjustable Heavy Duty Garden Hanging Stake for Bird Feeder Solar Light Plant Hanger Wedding Decor, Matte Black",Artigarden,"♥ Extendable & Tall Hook Hanger: The outside shepherd’s hook hanger made of 3/5 inch width & 2mm thickened steel pipe with 5 solid anchor points, you can free to adjust the suitable height for 76’’, 60 "" or 44 "", and also make it stands firmly in the ground without easily falling down, no fear of severe weather such as strong winds, heavy rains, and blizzards, （2 PACK / SET）
♥ Total 5 Base Prongs "
92130_B08X11HGPG,92130,B08X11HGPG,sexy womens shorts,FAFOFA Women's Sexy Sports Bra Ribbed Seamless Bodycon Booty Shorts Sets GMY 2 Piece Outfits Beige L,QINSEN,"MATERIAL: 78% nylon + 22% spandex, ribbed stretchy fabric; high impact;quick-drying fabric Wear-resistant high elastic,skin-friendly, Moisture wicking,comfortable,breathable.medium thickness, moisture wicking and quick dry. 4-way stretch material to promote both soft and compression.
MOISTURE WICKING:knit ribbed material has strong sweat absorption capacity,Let your skin get rid of stickiness,It p"
78470_B07PJ41WPD,78470,B07PJ41WPD,pearl percussion kit,EASTROCK Drum Keys 3-Pack with Continuous Motion Speed Key Universal Drum Tuning Key Percussion Hardware Tool,EASTROCK,"Material: The Drum Key are made of high quality chrome-plated steel construction.
Use: Perfect for all drums with standard 1/4"" Socket square tension Rods.
Package: 4 of the Most Popular Drum Keys in One Economical Bundle!
Convenience: It's perfect as a spare to keep in your stick bag or around the rehearsal space.
Features: The complete line of EastRock parts and accessories are designed for each"
70230_B079CR71SL,70230,B079CR71SL,moldes para resina epoxi,"Incredible Solutions Crystal Clear Cast Tabletop Epoxy, UV Resistant High Gloss Finishing, Bar Countertop Resin Coating, Easy-to-Use 1:1 Mixing Ratio, Acrylic Glossy Coat, DIY Self-Leveling - 1 Gallon",Incredible Solutions,"💎 The Ultimate CRYSTAL CLEAR EPOXY – Our Table Top Epoxy cures ultra clear making it perfect for table tops, bar tops, and countertops. The custom Epoxy formulation allows for minimal bubbles, goes on smooth, helps eliminate fish eyes, craters and various other imperfections. We only offer what we use. Plus, unlike many other epoxies, our epoxy resists yellowing caused from exposure to Ultra Viole"
26792_B07BHCS2HW,26792,B07BHCS2HW,clearance items under 5 dollars,"Newtons Soft & Fruit Chewy Fig Cookies, 12 Snack Packs (2 Cookies Per Pack)",Newtons,
2501_B071KWLJH6,2501,B071KWLJH6,2 1/2 inch trailer hitch,Receiver Hitch Adapter (RH-252C) - 2.5 inch to 2 inch - Made in U.S.A.,Rigid Hitch,"Reduces 2-1/2 inch receiver opening to a 2 inch opening.
Black powder coat finish
Tack welded collar - May Stick Out Slightly
Fits 2-1/2"" receivers. See pictures to the left of this listing for schematic drawing.
Read product description below for more detailed information"
70931_B07TKSRYY1,70931,B07TKSRYY1,motorcycle helmet costime,"HONCENMAX Motorbike Off-Road Riding Goggles Glasses with Skull Face Mask - for Tactical Helmet M88,MICH Motorcycle Open Face Helmet - for Spooky Decor Halloween Mask Cos Mask",HONCENMAX,"【Dimension】18*17CM (8*7in), only weighting 7.0oz/200g. High quality compact TPU mask with dust proof HD PC lens to provide you with a better view during motorcycle riding.
【Skull Design】It follows the human head and the shape of the face. It fits closely to your face, more comfortable to wear.
【Comfortable】 Perforated mouth area assures breathability, comfortable and breathable. Adjustable Non-sli"
94390_B07TXM4QZG,94390,B07TXM4QZG,sliding mouse wrist rest,StarTech.com Wrist Rest - Ergonomic Desk Wrist Pad - Sliding Wrist Rest for Mouse - Silver Fabric - Office Wrist Support (ROLWRSTRST),StarTech,"Supports your wrist: This ergonomic wrist rest helps to support your wrist while using your mouse or typing, to reduce strain and enhance your comfort at work. Use it on your desk, table or sit-stand workstation
Sliding wrist rest: as you move your mouse, The wrist rest moves with you, providing comfort and slight cushioning. The sliding wrist rest provides more mobility than a static product like"
66516_B07RZHKKQW,66516,B07RZHKKQW,max from stranger things wig,Karlery Men Women Rocker Short Bob Curly Brown Gold Mustache Beard Wig California Halloween Cosplay Wig Anime Costume Party Wig,karlery,"100% Brand New
Adjustable Size: The maximum circumference approx 21~24inch/54~62cm(exist 1~2cm normal error), the size of wig cap is adjustable, which can fit different head size
High Quality: 100% high-quality high-temperature synthetic fiber,which is very suitable for long term use Wig color may vary due to different monitor or lights
Wig color may vary due to different monitor or lights
Functio"
53284_B07T3QDHDL,53284,B07T3QDHDL,inflatable travel pillow with pump,"Upgraded with Pump (1x) Inflatable Travel Foot Rest Pillow | Kids Airplane Bed to Sleep | Adjustable Height Leg Pillow | Best Kids Travel Accessories for Air (2, Grey with Pump)",BONAIR OUTFITTERS,"BEST SOLUTION FOR PARENTS TRAVELING WITH KIDS: No more sleepless flights. Let your kids sleep through the long-haul flights. Creates a travel bed for your children to sleep on. Height-adjustable inflatable footrest fits between airplane seats and car seats
ATTENTION: 2 Grey with pump comes with 1 Built-in Black Pump. No more sleepless flights. Let your kids sleep through the long-haul flights. Cre"
10125_B07DM5LBK5,10125,B07DM5LBK5,arcade console fitting,Kiddie Play Toy Basketball Hoop Arcade Game indoor Sports Toys for Kids,Kiddie Play,"2 inflatable balls and pump included. Easy to assemble no screws or tools required
Ball size - 7"" diameter. Hoop size - 9"" diameter
Large mesh storage basket in the bottom
Let your toddler enjoy hours of indoor play with this arcade basketball hoop
Dimensions: 35.5"" L x 18.5"" W x 55.2"" H"
102700_B07HPCGMLW,102700,B07HPCGMLW,thin fabric braided extension cords 12ft,"Cordinate Designer 3-Outlet Power Strip with Surge Protection, 10 Ft Braided Extension Cord, Tamper Resistant Safety Outlets, Low-Profile Flat Plug, ETL Listed, Black/Dark Heather, 43013",Cordinate,"Power More – The 3 outlets and the 10ft extra-long power cord allow you to power your iPhone Android laptop tablet Nintendo Switch Fitbit smartwatch Bluetooth speaker TV sound system or lamps in any space
Surge Protection – This unit features internal surge protection to safeguard your connected equipment from brief spikes in voltage that can be harmful to your devices A UL listing and hassle-free"
114851_B07G5XGQ2L,114851,B07G5XGQ2L,yellow gold turtleneck,"Speerise Adult Shiny Metallic One Pieces Turtleneck Dance Leotard Bodysuit Costume, S, Gold",speerise,"Mock neck style, sleeveless, zipper back
It's close-fit type, size may run small, a size up recommend
The perfect stand-out leotard for dance, gymnastics, or clubwear
In order to keep shiny better, better not wash it, or just wipe it with wet towel gently or turn inside out, and just wash or wipe inside"
80448_B0797CMZ15,80448,B0797CMZ15,pioneer dj speakers,Pioneer DJ RB-DMX1 - Rekordbox DMX Interface - DMX512,Pioneer DJ,"Highly compact and portable, yet robust in its seamless aluminum casing with extended edges that protect the terminals
Dramatically reduce pre-show prep with the automatically-generated patterns and then quickly customize them on the fly by choosing from a range of presets
Quickly connect to and control compatible DMX512 fixtures via a USB cable
Easily sync lights and music with Lighting mode, an "
102365_0882848623,102365,0882848623,the romantic period,"The Romantic Spirit (1790--1910), Bk 2: 21 Intermediate to Early Advanced Piano Solos Reflecting the Influence of 13 Great Composers on the Romantic Period, Book & CD (The Spirit Series, Bk 2)",Alfred Publishing,
194_B019JI9SZQ,194,B019JI9SZQ,* batteries not included,Short Circuit,,
55891_B004LR5NEG,55891,B004LR5NEG,jet ski trailer,"Shoreline Marine Trailer Coupler Lock, Single",Shoreline Marine,"Helps Prevent Theft
Corrosion Resistant
Screw Type
Stainless Steel
Two keys included"
57622_B07MM5T7YW,57622,B07MM5T7YW,kid rain boots,"Sorel Madson Moc Toe Waterproof Boot - Men's Elk, 11.5",Sorel,"The Sorel Men's Madson Moc Toe Waterproof Boot is rugged, refined and ready for action. The Madson Moc Toe brings a casual, contemporary look to the traditional moc toe, letting you trek in style over wet and dry surfaces. This stylish rain boot combines all-around waterproof construction and a sturdy, rubberized outsole with durable full-grain leather in a clean, minimalist profile for a comforta"
12188_B07L7NPLPJ,12188,B07L7NPLPJ,baby side sleeping positioner,Baby Stereotypes Pillow Infant Newborn Anti Rollover Mattress Pillow for 0 12 Months Baby Sleep Positioning (Grey),VoPee,"Incredibly Portable-Lightweight, practical, portable for easy travel, take our portable infant lounger pillow with you, wherever you go - hotels, playdates, parks, and more!
The material is baby blanket soft and the supportive structure is optimal for keeping your neck in better alignment while relaxing, or even snoozing;
Cottony-cute fabric. Recommended age - 0-12 months；
Specially designed seat "
99440_B0812B4HBM,99440,B0812B4HBM,supreme brand clothing,"Champion Kids Clothes Boys Performance Big Logo Tech Athletic Tee Shirt (Large, Black)",Champion,"THE ULTIMATE TECH TEE: Introducing Champion's signature tech tee. Champion's tech fabric is quick drying, ultra fast and has a more natural feel, the 100% Polyester fabric composition gives the tee shirt more of an athletic feel as opposed to our Cotton Tee Shirts. This T shirt is perfect for any active activities, including basketball, football, soccer, baseball, gym class, or to just casually we"
47401_B01IF7KODW,47401,B01IF7KODW,greenbay in pink,Leotruny Over the Calf Tube Socks (White/Green/Yellow),Leotruny,"Fit Shoe Size: Mens 6-12 Womens 7-13
Over the calf length and triple stripes
Approximate leg length is 11"" (28cm)
Soft knit material,ribbed upper
1 pair in each Leotruny package"
85311_B078Y9BHNV,85311,B078Y9BHNV,rae dunn not today satan mug,"Dicksons Not Today Satan, I'm Armed Black with Lavender 11 Ounce Ceramic Coffee Mug",Dicksons,"Made of quality ceramic; Microwave and dishwasher safe
Holds up to 11 fluid ounces of your favorite hot or cold beverage
Features 'Not today Satan…' and Ephesians 6:11-17 inspirational sentiment
Perfect for adding a special touch to your favorite daily drink
Carefully packaged within fitted box for easy gifting"
10125_B001UW9Z6M,10125,B001UW9Z6M,arcade console fitting,Arcade Zone - Nintendo Wii,ACTIVISION,"Fully 3D arcade with 5 visually distinct themed environments - Arcade, Egyptian, Aztec, Haunted, and Pirate. Create and customize your character and play through all the games to unlock the Arcade Master Zone for a face-off with the resident arcade legend
“Classic retro video games” incorporated in each zone: Freeway, Atlantis, Megamania, and Kaboom! Beat the retro games and earn old-school patche"
5689_B07FK94YHD,5689,B07FK94YHD,"I would buy a vintage jean jacket, with a shearling lined interior. ","Levi's Men's Soft Shell Two Pocket Sherpa Lined Hooded Trucker Jacket, Graphite Heather, Large",Levi's,"FUNCTIONALITY: Dual front closure front zipper and snaps; Two flap pockets with snap closures at the chest; Two lower welt pockets at the waist and a hidden interior pocket with zipper closure for added storage and security
STYLISH FEATURES: Attached Sherpa lined hood with adjustable drawstrings for comfort; adjustable snap cuffs for desired fit; inner quilted lining
WARMING FEATURES: Fully Sherpa"
53752_B07CVW4JCS,53752,B07CVW4JCS,ip camera,"HDView Convert Analog Cameras to IP Cameras, PoE Realtime Encoder Converter Adapter, DVS, Support 4MP AHD 2MP TVI/AHD Cameras",HDView,"[IMPORTANT] The converted IP camera can be connected by IE web browser, NVMS1000 software from the CD or download from our website, and HDView branded NVR. If you connect the camera with another brand of NVR, you may encounter Onvif compatibility issue. Please use IPTOOL software (in the CD or our website) to find the camera's IP in your computer. Please reach us if you need tech support (email fr"
85118_B01D6TGVHW,85118,B01D6TGVHW,quirky readin,"First Lines Literature Coffee Mug - The Greatest Opening Lines Of Literature, From Anna Karenina to Slaughterhouse Five - Comes in a Fun Gift Box - by The Unemployed Philosophers Guild",The Unemployed Philosophers Guild,"Featuring 24 opening lines of some of the greatest works of literature.
12 oz. mug. Dishwasher and microwave safe.
From the Unemployed Philosophers Guild. Don't worry. We are employed, just not as philosophers. We're a small, Brooklyn based company specializing in gifts for the sophisticated gift giver. For whatever you need, we have presents of mind."
8384_B07H23DNXJ,8384,B07H23DNXJ,altruist dermatologist face fluid,"W3LL PEOPLE - Natural Bio Base Baked Foundation | Clean, Non-Toxic Makeup (Fair Golden)",W3LL PEOPLE,"Enjoy A Naturally Flawless, Smoother Complexion With A Weightless, Modern Semi-Matte Finish
Combines The Utility Of Pressed Powder With The Skincare Benefits Of Cream, The Bio Baked Collection Offers Easy, Travel-Friendly Portability, Foolproof Application & A Velvety Soft Formula That Bonds To The Skin Like A Liquid Cosmetic For Effective, All-Day Wear
Certified Organic & Natural Ingredients
Vega"
